Entrances,Not_reside,Used,floors,appartment,RuleID,Name,Shape_Leng,Shape_Area,lat,lon
3,0,מגורים,2,4,1,,48.03942121,129.1994907,31.24700064,34.79165445
3,0,מגורים,3,5,1,,84.71243466,239.4057046,31.24709407,34.79191769
3,0,מגורים,2,4,1,,100.6018509,271.9351455,31.24758602,34.79277544
3,0,מגורים,2,4,1,,104.119618,294.3927033,31.24776256,34.79294947
3,0,מגורים,2,4,1,,95.50452661,284.49502,31.24734836,34.79308389
3,0,מגורים,2,4,1,,64.08251339,155.7251941,31.24712818,34.79339622
1,0,מגורים,4,16,1,,102.7489845,309.7776207,31.24829712,34.79294395
1,0,מגורים,2,4,1,,72.71486284,205.0418299,31.2483678,34.79473918
1,0,מגורים,2,2,1,,45.02552569,109.2760676,31.24663224,34.79417029
1,0,מגורים,2,2,1,,50.10433282,132.8724661,31.24669879,34.79423644
1,0,מגורים,4,8,1,,50.44744595,141.855792,31.24842877,34.79444977
1,0,מגורים,4,8,1,,52.52147028,146.7024986,31.2485476,34.79454008
1,0,מגורים,4,8,1,,50.38774298,140.4958582,31.24803926,34.79415608
1,0,מגורים,4,8,1,,50.74343813,142.6526708,31.24815778,34.79424608
1,0,מגורים,2,4,1,,86.93559052,237.0776759,31.24792893,34.79510691
1,0,מגורים,2,4,1,,94.99518878,276.0856934,31.24817983,34.79457293
1,0,מגורים,4,8,1,,82.50616553,271.059368,31.24816731,34.79521007
2,0,מגורים,1,3,1,,72.04694127,187.5878047,31.24840505,34.79516519
1,0,מגורים,2,1,1,,80.52803829,228.0689339,31.24946618,34.794078
1,0,מגורים,2,1,1,,61.82666309,157.4864109,31.2494293,34.7943189
1,0,מגורים,2,1,1,,69.0936099,179.778055,31.24949243,34.79523204
2,0,מגורים,2,4,1,,92.99683091,259.252836,31.24636605,34.79059243
2,0,מגורים,2,3,1,,83.22528917,227.4471074,31.24655158,34.79108826
1,1,גן ילדים,1,0,1,,72.98633125,221.1408518,31.2489009,34.79317381
3,0,מגורים,3,18,1,,126.8464101,586.4534229,31.24792904,34.79213792
2,0,מגורים,3,12,1,,103.7942744,365.5853559,31.24838978,34.79263476
1,1,בית ספר,1,0,1,,105.47269,404.0850934,31.24681521,34.79259564
1,0,מגורים,4,8,1,,62.96652417,186.9576824,31.24868431,34.79464443
3,0,מגורים,2,4,1,,66.5692087,162.1458477,31.24710272,34.79397596
3,0,מגורים,2,4,1,,82.40299036,258.9110568,31.24728447,34.79412143
